ds,y
2018-01-01,309
2018-01-02,911
2018-01-03,1263
2018-01-04,1522
2018-01-05,1532
2018-01-06,1194
2018-01-07,615
2018-01-08,1219
2018-01-09,1361
2018-01-10,1504
2018-01-11,1499
2018-01-12,1647
2018-01-13,1556
2018-01-14,577
2018-01-15,1262
2018-01-16,1402
2018-01-17,1521
2018-01-18,1637
2018-01-19,1594
2018-01-20,1367
2018-01-21,532
2018-01-22,1153
2018-01-23,1404
2018-01-24,1533
2018-01-25,1383
2018-01-26,1511
2018-01-27,1615
2018-01-28,774
2018-01-29,1300
2018-01-30,1454
2018-01-31,1404
2018-02-01,1383
2018-02-02,1633
2018-02-03,1578
2018-02-04,716
2018-02-05,1119
2018-02-06,1391
2018-02-07,1397
2018-02-08,1392
2018-02-09,1677
2018-02-10,1596
2018-02-11,799
2018-02-12,1191
2018-02-13,1306
2018-02-14,1343
2018-02-15,1489
2018-02-16,1664
2018-02-17,1392
2018-02-18,577
2018-02-19,1009
2018-02-20,1266
2018-02-21,1360
2018-02-22,1494
2018-02-23,1487
2018-02-24,1556
2018-02-25,790
2018-02-26,1244
2018-02-27,1368
2018-02-28,1009
2018-03-01,1518
2018-03-02,1719
2018-03-03,1661
2018-03-04,737
2018-03-05,1302
2018-03-06,1290
2018-03-07,1432
2018-03-08,1483
2018-03-09,1552
2018-03-10,1454
2018-03-11,780
2018-03-12,1202
2018-03-13,1448
2018-03-14,1438
2018-03-15,1314
2018-03-16,1496
2018-03-17,1466
2018-03-18,709
2018-03-19,1107
2018-03-20,1312
2018-03-21,1489
2018-03-22,1504
2018-03-23,1473
2018-03-24,1532
2018-03-25,621
2018-03-26,1172
2018-03-27,1358
2018-03-28,1505
2018-03-29,1599
2018-03-30,1651
2018-03-31,1352
2018-04-01,785
2018-04-02,474
2018-04-03,1364
2018-04-04,1387
2018-04-05,1412
2018-04-06,1531
2018-04-07,1475
2018-04-08,643
2018-04-09,1199
2018-04-10,1407
2018-04-11,1251
2018-04-12,1454
2018-04-13,1578
2018-04-14,1680
2018-04-15,752
2018-04-16,858
2018-04-17,1162
2018-04-18,1290
2018-04-19,1543
2018-04-20,1645
2018-04-21,1511
2018-04-22,672
2018-04-23,1306
2018-04-24,1517
2018-04-25,1597
2018-04-26,1598
2018-04-27,1577
2018-04-28,1554
2018-04-29,629
2018-04-30,1449
2018-05-01,709
2018-05-02,1096
2018-05-03,1354
2018-05-04,1674
2018-05-05,1553
2018-05-06,703
2018-05-07,1313
2018-05-08,704
2018-05-09,1395
2018-05-10,843
2018-05-11,1484
2018-05-12,1405
2018-05-13,811
2018-05-14,814
2018-05-15,1268
2018-05-16,1515
2018-05-17,1378
2018-05-18,1573
2018-05-19,1647
2018-05-20,1302
2018-05-21,623
2018-05-22,1446
2018-05-23,1592
2018-05-24,1582
2018-05-25,1632
2018-05-26,1577
2018-05-27,963
2018-05-28,1291
2018-05-29,1150
2018-05-30,581
2018-05-31,1472
2018-06-01,1627
2018-06-02,1583
2018-06-03,677
2018-06-04,1278
2018-06-05,1414
2018-06-06,1515
2018-06-07,1568
2018-06-08,1621
2018-06-09,1655
2018-06-10,685
2018-06-11,1263
2018-06-12,1256
2018-06-13,1531
2018-06-14,1610
2018-06-15,1709
2018-06-16,1649
2018-06-17,790
2018-06-18,1329
2018-06-19,1442
2018-06-20,1526
2018-06-21,1409
2018-06-22,1845
2018-06-23,1466
2018-06-24,640
2018-06-25,1224
2018-06-26,1405
2018-06-27,1543
2018-06-28,1461
2018-06-29,1695
2018-06-30,1310
2018-07-01,587
2018-07-02,1260
2018-07-03,1413
2018-07-04,1467
2018-07-05,1580
2018-07-06,1724
2018-07-07,1507
2018-07-08,574
2018-07-09,1147
2018-07-10,1492
2018-07-11,1529
2018-07-12,1544
2018-07-13,1650
2018-07-14,1222
2018-07-15,1139
2018-07-16,1295
2018-07-17,1435
2018-07-18,1358
2018-07-19,1589
2018-07-20,1600
2018-07-21,1474
2018-07-22,676
2018-07-23,1123
2018-07-24,1547
2018-07-25,143
2018-07-26,
2018-07-27,804
2018-07-28,1394
2018-07-29,589
2018-07-30,1075
2018-07-31,1450
2018-08-01,1430
2018-08-02,1510
2018-08-03,1411
2018-08-04,1203
2018-08-05,622
2018-08-06,970
2018-08-07,1423
2018-08-08,1446
2018-08-09,1532
2018-08-10,1606
2018-08-11,1394
2018-08-12,652
2018-08-13,1146
2018-08-14,1498
2018-08-15,327
2018-08-16,1367
2018-08-17,1517
2018-08-18,1551
2018-08-19,868
2018-08-20,1205
2018-08-21,1387
2018-08-22,1103
2018-08-23,1546
2018-08-24,1531
2018-08-25,1459
2018-08-26,659
2018-08-27,1155
2018-08-28,1287
2018-08-29,1559
2018-08-30,1635
2018-08-31,1773
2018-09-01,1729
2018-09-02,721
2018-09-03,1262
2018-09-04,1410
2018-09-05,1439
2018-09-06,1539
2018-09-07,1665
2018-09-08,1605
2018-09-09,543
2018-09-10,1250
2018-09-11,1487
2018-09-12,1530
2018-09-13,1604
2018-09-14,1725
2018-09-15,1692
2018-09-16,868
2018-09-17,1266
2018-09-18,1572
2018-09-19,1548
2018-09-20,1521
2018-09-21,1681
2018-09-22,1659
2018-09-23,693
2018-09-24,1266
2018-09-25,1515
2018-09-26,1561
2018-09-27,1538
2018-09-28,1722
2018-09-29,1764
2018-09-30,642
2018-10-01,1306
2018-10-02,1028
2018-10-03,1401
2018-10-04,1709
2018-10-05,1799
2018-10-06,1791
2018-10-07,731
2018-10-08,1426
2018-10-09,1484
2018-10-10,1552
2018-10-11,1564
2018-10-12,1722
2018-10-13,1791
2018-10-14,684
2018-10-15,1274
2018-10-16,1454
2018-10-17,1535
2018-10-18,1471
2018-10-19,1589
2018-10-20,1745
2018-10-21,809
2018-10-22,1331
2018-10-23,1525
2018-10-24,1492
2018-10-25,1627
2018-10-26,1697
2018-10-27,1551
2018-10-28,640
2018-10-29,1198
2018-10-30,1523
2018-10-31,1590
2018-11-01,1076
2018-11-02,1539
2018-11-03,1571
2018-11-04,1011
2018-11-05,1314
2018-11-06,1482
2018-11-07,1541
2018-11-08,1537
2018-11-09,1616
2018-11-10,1663
2018-11-11,1039
2018-11-12,1413
2018-11-13,1481
2018-11-14,1551
2018-11-15,1577
2018-11-16,1706
2018-11-17,1273
2018-11-18,813
2018-11-19,1228
2018-11-20,1307
2018-11-21,1490
2018-11-22,1518
2018-11-23,1716
2018-11-24,1557
2018-11-25,1051
2018-11-26,1197
2018-11-27,1486
2018-11-28,1575
2018-11-29,1566
2018-11-30,1570
2018-12-01,1651
2018-12-02,221
2018-12-03,1231
2018-12-04,1512
2018-12-05,1689
2018-12-06,1665
2018-12-07,1702
2018-12-08,1624
2018-12-09,907
2018-12-10,1348
2018-12-11,1540
2018-12-12,1535
2018-12-13,1482
2018-12-14,1635
2018-12-15,1089
2018-12-16,425
2018-12-17,1337
2018-12-18,1576
2018-12-19,1665
2018-12-20,1704
2018-12-21,1881
2018-12-22,902
2018-12-23,969
2018-12-24,1204
2018-12-25,412
2018-12-26,1429
2018-12-27,1531
2018-12-28,1673
2018-12-29,1630
2018-12-30,931
2018-12-31,1042
1905-07-11,
2019-01-01,444
2019-01-02,1189
2019-01-03,1486
2019-01-04,1530
2019-01-05,1547
2019-01-06,587
2019-01-07,1213
2019-01-08,1344
2019-01-09,1470
2019-01-10,1496
2019-01-11,1619
2019-01-12,1541
2019-01-13,340
2019-01-14,1204
2019-01-15,1481
2019-01-16,1511
2019-01-17,1456
2019-01-18,1706
2019-01-19,1612
2019-01-20,697
2019-01-21,1316
2019-01-22,1287
2019-01-23,1380
2019-01-24,1497
2019-01-25,1595
2019-01-26,1662
2019-01-27,506
2019-01-28,1110
2019-01-29,1303
2019-01-30,1362
2019-01-31,1529
2019-02-01,1678
2019-02-02,1436
2019-02-03,731
2019-02-04,1238
2019-02-05,1422
2019-02-06,1596
2019-02-07,1518
2019-02-08,1668
2019-02-09,1699
2019-02-10,676
2019-02-11,1241
2019-02-12,1469
2019-02-13,1567
2019-02-14,1696
2019-02-15,1666
2019-02-16,1702
2019-02-17,841
2019-02-18,1257
2019-02-19,1586
2019-02-20,1522
2019-02-21,1623
2019-02-22,1646
2019-02-23,1474
2019-02-24,810
2019-02-25,1176
2019-02-26,1428
2019-02-27,1551
2019-02-28,1646
2019-03-01,1665
2019-03-02,1560
2019-03-03,973
2019-03-04,1315
2019-03-05,1538
2019-03-06,1601
2019-03-07,1522
2019-03-08,1646
2019-03-09,1467
2019-03-10,701
2019-03-11,1302
2019-03-12,1414
2019-03-13,1446
2019-03-14,1604
2019-03-15,1690
2019-03-16,1676
2019-03-17,721
2019-03-18,1326
2019-03-19,1472
2019-03-20,1504
2019-03-21,1639
2019-03-22,1627
2019-03-23,1608
2019-03-24,812
2019-03-25,1174
2019-03-26,1419
2019-03-27,1468
2019-03-28,1539
2019-03-29,1687
2019-03-30,1654
2019-03-31,856
2019-04-01,1288
2019-04-02,1384
2019-04-03,1532
2019-04-04,1534
2019-04-05,1640
2019-04-06,1713
2019-04-07,946
2019-04-08,1257
2019-04-09,1516
2019-04-10,1510
2019-04-11,1526
2019-04-12,1765
2019-04-13,1766
2019-04-14,1015
2019-04-15,1293
2019-04-16,1524
2019-04-17,1579
2019-04-18,1637
2019-04-19,1694
2019-04-20,1618
2019-04-21,761
2019-04-22,749
2019-04-23,1365
2019-04-24,1492
2019-04-25,1605
2019-04-26,1510
2019-04-27,1516
2019-04-28,800
2019-04-29,1419
2019-04-30,1700
2019-05-01,936
2019-05-02,1543
2019-05-03,1579
2019-05-04,1532
2019-05-05,689
2019-05-06,1323
2019-05-07,1589
2019-05-08,792
2019-05-09,1578
2019-05-10,1637
2019-05-11,1603
2019-05-12,823
2019-05-13,1382
2019-05-14,1440
2019-05-15,1623
2019-05-16,1542
2019-05-17,1491
2019-05-18,1374
2019-05-19,996
2019-05-20,214
2019-05-21,1432
2019-05-22,1527
2019-05-23,1538
2019-05-24,1521
2019-05-25,1414
2019-05-26,1146
2019-05-27,1318
2019-05-28,1426
2019-05-29,1783
2019-05-30,769
2019-05-31,1509
2019-06-01,1240
2019-06-02,520
2019-06-03,1317
2019-06-04,1437
2019-06-05,1426
2019-06-06,1617
2019-06-07,1756
2019-06-08,1624
2019-06-09,623
2019-06-10,534
2019-06-11,1550
2019-06-12,1610
2019-06-13,1462
2019-06-14,1778
2019-06-15,1610
2019-06-16,648
2019-06-17,1300
2019-06-18,1174
2019-06-19,1536
2019-06-20,1660
2019-06-21,1866
2019-06-22,1610
2019-06-23,513
2019-06-24,1258
2019-06-25,1418
2019-06-26,1472
2019-06-27,1407
2019-06-28,1598
2019-06-29,1399
2019-06-30,584
2019-07-01,1309
2019-07-02,1646
2019-07-03,1897
2019-07-04,1701
2019-07-05,1811
2019-07-06,1553
2019-07-07,562
2019-07-08,1202
2019-07-09,1585
2019-07-10,1744
2019-07-11,1677
2019-07-12,1809
2019-07-13,1522
2019-07-14,993
2019-07-15,1221
2019-07-16,1517
2019-07-17,1557
2019-07-18,14
2019-07-19,
2019-07-20,1178
2019-07-21,526
2019-07-22,1149
2019-07-23,1298
2019-07-24,1280
2019-07-25,1296
2019-07-26,1600
2019-07-27,1309
2019-07-28,535
2019-07-29,1207
2019-07-30,1570
2019-07-31,1565
2019-08-01,1683
2019-08-02,1804
2019-08-03,1396
2019-08-04,527
2019-08-05,1235
2019-08-06,1560
2019-08-07,1565
2019-08-08,1457
2019-08-09,1374
2019-08-10,1499
2019-08-11,551
2019-08-12,1155
2019-08-13,1501
2019-08-14,1394
2019-08-15,1032
2019-08-16,1475
2019-08-17,1382
2019-08-18,494
2019-08-19,1269
2019-08-20,1452
2019-08-21,1491
2019-08-22,1641
2019-08-23,1650
2019-08-24,1401
2019-08-25,699
2019-08-26,1178
2019-08-27,1543
2019-08-28,1554
2019-08-29,1634
2019-08-30,1962
2019-08-31,1669
2019-09-01,509
2019-09-02,22
2019-09-03,
2019-09-04,972
2019-09-05,1763
2019-09-06,2020
2019-09-07,1611
2019-09-08,649
2019-09-09,1335
2019-09-10,1474
2019-09-11,1596
2019-09-12,1668
2019-09-13,1722
2019-09-14,1604
2019-09-15,497
2019-09-16,1309
2019-09-17,1449
2019-09-18,1485
2019-09-19,1594
2019-09-20,1729
2019-09-21,1605
2019-09-22,841
2019-09-23,1290
2019-09-24,1441
2019-09-25,1550
2019-09-26,1670
2019-09-27,1778
2019-09-28,1810
2019-09-29,602
2019-09-30,1344
2019-10-01,1580
2019-10-02,1507
2019-10-03,1617
2019-10-04,1713
2019-10-05,1698
2019-10-06,706
2019-10-07,1331
2019-10-08,1551
2019-10-09,1517
2019-10-10,1799
2019-10-11,1826
2019-10-12,1786
2019-10-13,554
2019-10-14,1331
2019-10-15,1606
2019-10-16,1533
2019-10-17,1665
2019-10-18,1819
2019-10-19,1667
2019-10-20,559
2019-10-21,1338
2019-10-22,1352
2019-10-23,1542
2019-10-24,1621
2019-10-25,1824
2019-10-26,1678
2019-10-27,728
2019-10-28,1364
2019-10-29,1624
2019-10-30,1647
2019-10-31,1782
2019-11-01,946
2019-11-02,1491
2019-11-03,489
2019-11-04,1300
2019-11-05,1437
2019-11-06,1552
2019-11-07,1515
2019-11-08,1770
2019-11-09,1621
2019-11-10,910
2019-11-11,683
2019-11-12,1620
2019-11-13,1637
2019-11-14,1721
2019-11-15,1733
2019-11-16,1342
2019-11-17,861
2019-11-18,1369
2019-11-19,1596
2019-11-20,1611
2019-11-21,1602
2019-11-22,1833
2019-11-23,1366
2019-11-24,745
2019-11-25,1369
2019-11-26,1651
2019-11-27,1558
2019-11-28,1553
2019-11-29,1580
2019-11-30,1591
2019-12-01,889
2019-12-02,1339
2019-12-03,1590
2019-12-04,1611
2019-12-05,970
2019-12-06,1817
2019-12-07,1511
2019-12-08,816
2019-12-09,1348
2019-12-10,1631
2019-12-11,1579
2019-12-12,1454
2019-12-13,354
2019-12-14,1413
2019-12-15,1202
2019-12-16,1524
2019-12-17,1476
2019-12-18,1809
2019-12-19,1775
2019-12-20,1765
2019-12-21,1646
2019-12-22,993
2019-12-23,1668
2019-12-24,1346
2019-12-25,557
2019-12-26,1605
2019-12-27,1629
2019-12-28,1707
2019-12-29,850
2019-12-30,1435
2019-12-31,1320
1905-07-12,
2020-01-01,455
2020-01-02,1347
2020-01-03,1586
2020-01-04,1593
2020-01-05,648
2020-01-06,1272
2020-01-07,1391
2020-01-08,1476
2020-01-09,1519
2020-01-10,1690
2020-01-11,1804
2020-01-12,691
2020-01-13,1336
2020-01-14,1358
2020-01-15,1569
2020-01-16,1619
2020-01-17,1705
2020-01-18,1896
2020-01-19,584
2020-01-20,1329
2020-01-21,1457
2020-01-22,1507
2020-01-23,1588
2020-01-24,1810
2020-01-25,1534
2020-01-26,648
2020-01-27,1302
2020-01-28,1467
2020-01-29,1662
2020-01-30,1541
2020-01-31,1722
2020-02-01,1576
2020-02-02,667
2020-02-03,1312
2020-02-04,1490
2020-02-05,1552
2020-02-06,1709
2020-02-07,1737
2020-02-08,1688
2020-02-09,643
2020-02-10,1329
2020-02-11,1438
2020-02-12,1666
2020-02-13,1687
2020-02-14,1919
2020-02-15,1518
2020-02-16,722
2020-02-17,1286
2020-02-18,1654
2020-02-19,1648
2020-02-20,1750
2020-02-21,1836
2020-02-22,1544
2020-02-23,803
2020-02-24,1347
2020-02-25,1475
2020-02-26,1424
2020-02-27,1448
2020-02-28,1775
2020-02-29,1369
2020-03-01,610
2020-03-02,1040
2020-03-03,1202
2020-03-04,1356
2020-03-05,1400
2020-03-06,1478
2020-03-07,1638
2020-03-08,558
2020-03-09,1179
2020-03-10,1446
2020-03-11,1556
2020-03-12,1503
2020-03-13,1488
2020-03-14,1110
2020-03-15,293
2020-03-16,726
2020-03-17,402
2020-03-18,192
2020-03-19,182
2020-03-20,189
2020-03-21,112
2020-03-22,35
2020-03-23,121
2020-03-24,153
2020-03-25,153
2020-03-26,161
2020-03-27,166
2020-03-28,97
2020-03-29,34
2020-03-30,143
2020-03-31,163
2020-04-01,171
2020-04-02,174
2020-04-03,176
2020-04-04,120
2020-04-05,47
2020-04-06,186
2020-04-07,184
2020-04-08,181
2020-04-09,183
2020-04-10,196
2020-04-11,152
2020-04-12,44
2020-04-13,55
2020-04-14,198
2020-04-15,218
2020-04-16,224
2020-04-17,229
2020-04-18,169
2020-04-19,63
2020-04-20,231
2020-04-21,211
2020-04-22,241
2020-04-23,250
2020-04-24,244
2020-04-25,190
2020-04-26,68
2020-04-27,237
2020-04-28,271
2020-04-29,252
2020-04-30,248
2020-05-01,73
2020-05-02,229
2020-05-03,77
2020-05-04,274
2020-05-05,320
2020-05-06,340
2020-05-07,327
2020-05-08,117
2020-05-09,233
2020-05-10,69
2020-05-11,810
2020-05-12,959
2020-05-13,1047
2020-05-14,1042
2020-05-15,1089
2020-05-16,955
2020-05-17,343
2020-05-18,898
2020-05-19,1098
2020-05-20,1058
2020-05-21,398
2020-05-22,1026
2020-05-23,763
2020-05-24,271
2020-05-25,914
2020-05-26,1069
2020-05-27,1060
2020-05-28,1043
2020-05-29,1074
2020-05-30,855
2020-05-31,261
2020-06-01,429
2020-06-02,1338
2020-06-03,1214
2020-06-04,1345
2020-06-05,1512
2020-06-06,1505
2020-06-07,427
2020-06-08,1060
2020-06-09,1467
2020-06-10,1446
2020-06-11,1387
2020-06-12,1505
2020-06-13,1502
2020-06-14,465
2020-06-15,1224
2020-06-16,1454
2020-06-17,1493
2020-06-18,1638
2020-06-19,1723
2020-06-20,1523
2020-06-21,884
2020-06-22,1255
2020-06-23,317
2020-06-24,1337
2020-06-25,1432
2020-06-26,1722
2020-06-27,1507
2020-06-28,579
2020-06-29,1225
2020-06-30,1634
2020-07-01,1691
2020-07-02,1601
2020-07-03,1735
2020-07-04,1593
2020-07-05,525
2020-07-06,1290
2020-07-07,1480
2020-07-08,1451
2020-07-09,1591
2020-07-10,1708
2020-07-11,1421
2020-07-12,515
2020-07-13,1142
2020-07-14,868
2020-07-15,1565
2020-07-16,1755
2020-07-17,1753
2020-07-18,1530
2020-07-19,510
2020-07-20,1223
2020-07-21,1467
2020-07-22,1644
2020-07-23,1698
2020-07-24,1684
2020-07-25,1501
2020-07-26,563
2020-07-27,1056
2020-07-28,1612
2020-07-29,1576
2020-07-30,1273
2020-07-31,1616
2020-08-01,1679
2020-08-02,584
2020-08-03,1345
2020-08-04,1619
2020-08-05,1518
2020-08-06,1399
2020-08-07,1529
2020-08-08,1421
2020-08-09,628
2020-08-10,1231
2020-08-11,1520
2020-08-12,1431
2020-08-13,1575
2020-08-14,1564
2020-08-15,1067
2020-08-16,685
2020-08-17,1236
2020-08-18,1557
2020-08-19,1309
2020-08-20,1385
2020-08-21,1505
2020-08-22,1468
2020-08-23,626
2020-08-24,1216
